"Subject","Age","Gender","Morality","Identity","dprime"
7003,19,"male","Good","Self",1.11323375728921
7003,19,"male","Good","Other",1.85451911404006
7003,19,"male","Bad","Self",1.76478372017686
7003,19,"male","Bad","Other",0.60805224661517
7004,22,"female","Good","Self",2.03017409335904
7004,22,"female","Good","Other",2.40382073768789
7004,22,"female","Bad","Self",1.81993376488356
7004,22,"female","Bad","Other",2.14720500613057
7005,20,"male","Good","Self",2.60508566267443
7005,20,"male","Good","Other",1.69533485698335
7005,20,"male","Bad","Self",1.56953452445456
7005,20,"male","Bad","Other",1.45146644372458
7006,21,"female","Good","Self",1.81993376488356
7006,21,"female","Good","Other",2.9696664677579
7006,21,"female","Bad","Self",1.90739463980868
7006,21,"female","Bad","Other",1.69533485698335
7007,21,"male","Good","Self",0.424346560994924
7007,21,"male","Good","Other",0.508588831875901
7007,21,"male","Bad","Self",0.698628895350538
7007,21,"male","Bad","Other",0.861454598590915
7008,21,"male","Good","Self",1.6267472928991
7008,21,"male","Good","Other",0.853574637736718
7008,21,"male","Bad","Self",0.0417892978164538
7008,21,"male","Bad","Other",0
7009,25,"female","Good","Self",0.512032876785749
7009,25,"female","Good","Other",0.699848641482645
7009,25,"female","Bad","Self",-0.440748778800912
7009,25,"female","Bad","Other",0.590838016288953
7010,20,"female","Good","Self",3.33500058185994
7010,20,"female","Good","Other",3.9619598700009
7010,20,"female","Bad","Self",2.30258778831818
7010,20,"female","Bad","Other",3.62913118022901
7011,27,"male","Good","Self",0.862360894897011
7011,27,"male","Good","Other",1.24745729869155
7011,27,"male","Bad","Self",2.38363234336279
7011,27,"male","Bad","Other",0.927836853331881
7012,22,"female","Good","Self",2.16925413965951
7012,22,"female","Good","Other",0.405073543707358
7012,22,"female","Bad","Self",0.362539154247539
7012,22,"female","Bad","Other",-0.142240249200006
7013,21,"female","Good","Self",2.69290211772542
7013,21,"female","Good","Other",1.8780546230667
7013,21,"female","Bad","Self",2.22824956117518
7013,21,"female","Bad","Other",4.25609046836997
7014,23,"female","Good","Self",2.91154560957476
7014,23,"female","Good","Other",3.66782927163183
7014,23,"female","Bad","Self",2.2845863214338
7014,23,"female","Bad","Other",2.75562524358826
7015,23,"female","Good","Self",-0.0454068328878897
7015,23,"female","Good","Other",0.876272826345888
7015,23,"female","Bad","Self",0.786876139056389
7015,23,"female","Bad","Other",0.967421566101701
7016,21,"female","Good","Self",1.81274763173958
7016,21,"female","Good","Other",1.07112317129668
7016,21,"female","Bad","Self",-0.0847670473928507
7016,21,"female","Bad","Other",0.482611214891587
7018,23,"male","Good","Self",3.21690876291655
7018,23,"male","Good","Other",3.67553136536311
7018,23,"male","Bad","Self",2.40382073768789
7018,23,"male","Bad","Other",3.21690876291655
7019,20,"female","Good","Self",1.50865547395571
7019,20,"female","Good","Other",1.48855400994129
7019,20,"female","Bad","Self",1.80904279967462
7019,20,"female","Bad","Other",1.1586405901771
7020,24,"male","Good","Self",3.16447862367877
7020,24,"male","Good","Other",1.8780546230667
7020,24,"male","Bad","Self",2.92640519249607
7020,24,"male","Bad","Other",2.57481029878203
7022,25,"male","Good","Self",0.594041930223595
7022,25,"male","Good","Other",2.37276691783312
7022,25,"male","Bad","Self",0.232272721407668
7022,25,"male","Bad","Other",1.40240304107773
7023,21,"female","Good","Self",2.17557569624011
7023,21,"female","Good","Other",1.41458878206838
7023,21,"female","Bad","Self",1.80595207825264
7023,21,"female","Bad","Other",0.869705386755362
7024,21,"male","Good","Self",0.684942931543245
7024,21,"male","Good","Other",0.503284270211752
7024,21,"male","Bad","Self",0.134427737076186
7024,21,"male","Bad","Other",-0.0354854269567955
7025,22,"male","Good","Self",2.00591985031073
7025,22,"male","Good","Other",1.56953452445456
7025,22,"male","Bad","Self",1.20495371937109
7025,22,"male","Bad","Other",1.48855400994129
7026,21,"male","Good","Self",0.466356173942869
7026,21,"male","Good","Other",2.39397979981851
7026,21,"male","Bad","Self",-0.46635617394287
7026,21,"male","Bad","Other",0.424346560994924
7028,21,"male","Good","Self",2.56182792669756
7028,21,"male","Good","Other",0.816047765703025
7028,21,"male","Bad","Self",0.825289673206228
7028,21,"male","Bad","Other",1.40240304107773
7029,18,"male","Good","Self",0.826314651631263
7029,18,"male","Good","Other",-0.251322693710148
7029,18,"male","Bad","Self",0.510981813262642
7029,18,"male","Bad","Other",0.726015293495363
7030,18,"female","Good","Self",2.42835400234125
7030,18,"female","Good","Other",2.88408007314466
7030,18,"female","Bad","Self",2.473367737226
7030,18,"female","Bad","Other",3.77697392691915
7031,20,"female","Good","Self",1.9348431322034
7031,20,"female","Good","Other",2.12317279911752
7031,20,"female","Bad","Self",1.78526136683287
7031,20,"female","Bad","Other",1.23643296349186
7032,22,"male","Good","Self",2.29593923897309
7032,22,"male","Good","Other",0.993928769637699
7032,22,"male","Bad","Self",0.97122758845598
7032,22,"male","Bad","Other",1.60940093798925
7033,22,"male","Good","Self",1.63634123023644
7033,22,"male","Good","Other",1.03119260065933
7033,22,"male","Bad","Self",-0.23760525680252
7033,22,"male","Bad","Other",1.56953452445456
7034,21,"male","Good","Self",1.3597101764695
7034,21,"male","Good","Other",2.456840359026
7034,21,"male","Bad","Self",1.76434668037543
7034,21,"male","Bad","Other",1.9523928502097
