"subId","Other_Bad","Other_Good","Self_Bad","Self_Good"
"7003",0.0592095661493658,0.0778870933665119,0.080696070159066,0.0492750560409531
"7004",0.0588358680173999,0.0650011915171896,0.0355512394352358,0.061544563232752
"7005",0.0635642248433369,0.0598699763853709,0.0690164363941615,0.0444676146429651
"7006",0.073063775379038,0.04615494151294,0.0310238928898734,0.0181346959290242
"7007",0.0625396188399846,0.0717017898451342,0.063104324252489,0.0664996813023997
"7008",0.0440656620501457,0.0582001175957707,0.0557838347116814,0.054157582579924
"7009",0.10704511485301,0.140051084667788,0.0996398203841085,0.100194949840937
"7010",0.0528083147219448,0.0355683653043101,0.0391427423947194,0.0458646395501915
"7011",0.0416163727740642,0.0498222404865025,0.0470106676409863,0.061993472802614
"7012",0.0744996581376821,0.0869972615296751,0.0649269079908975,0.0773672906188296
"7013",0.0594094437823539,0.0999498645991081,0.0757447615545479,0.0683834816241242
"7015",0.0721079422332829,0.0510207836466412,0.0774817961955823,0.0634789029647371
"7016",0.0306402870934949,0.0696565126337076,0.0676665565117262,0.0394555721114823
"7018",0.0627759601316492,0.0398247955939552,0.0499559443963304,0.0513818867525526
"7019",0.0861896574019734,0.102491758595074,0.089012816155432,0.0779952716091888
"7020",0.0540014853268364,0.058972656312355,0.0822914696751147,0.0558080599198299
"7022",0.0715891294272073,0.0685810993499274,0.051082057445518,0.0459151844727853
"7023",0.0309908173558412,0.0477284153151755,0.0791492300184079,0.0770395777563504
"7025",0.0458360388979629,0.0686384470662177,0.0614256511022143,0.0334284085954291
"7026",0.0736676828578869,0.0601950523405958,0.0737333446203114,0.065104017996589
"7028",0.0712964062035772,0.0581773932709709,0.0895301392859796,0.042819779545819
"7029",0.0883898616824654,0.104018556312363,0.105223915230438,0.0620268138216026
"7030",0.0770561598278806,0.0431816455846206,0.0525322200029654,0.0521912972783055
"7031",0.0436167297831073,0.148993931433027,0.0893648705940479,0.0552875187740325
"7032",0.102984040489978,0.158788944796581,0.131491272798587,0.071187672175678
"7033",0.0708031705671497,0.0670581009609384,0.0354643221416036,0.0392398110760116
"7034",0.0479446938574873,0.0394519711245318,0.0463304912198408,0.060419342642732
