"Subject","L_rt_match_Self_Good","L_rt_match_Self_Bad","L_rt_match_Other_Good","L_rt_match_Other_Bad","L_rt_nonmatch_Self_Good","L_rt_nonmatch_Self_Bad","L_rt_nonmatch_Other_Good","L_rt_nonmatch_Other_Bad","L_rt_m.good_bad_slf","L_rt_m.good_bad_oth","L_rt_m.slf_oth_good","L_rt_m.slf_oth_bad"
"7003",702.8,723.446511627907,660.02037037037,788.709375,789.697435897436,718.349056603774,746.918604651163,793.204761904762,-20.646511627907,-128.68900462963,42.7796296296295,-65.2628633720931
"7004",627.756140350877,738.33137254902,628.191071428571,691.123076923077,721.033333333333,773.165957446809,730.657142857143,718.047058823529,-110.575232198142,-62.9320054945056,-0.434931077694159,47.2082956259427
"7005",601.010169491525,741.278260869565,660.134782608696,747.915789473684,752.173170731707,785.19375,746.998,745.436538461538,-140.26809137804,-87.7810068649885,-59.1246131171703,-6.63752860411898
"7006",659.494117647059,715.309523809524,582.659322033898,709.295652173913,702.697872340426,713,693.602083333333,691.286,-55.815406162465,-126.636330140015,76.8347956131605,6.01387163561083
"7007",737.18947368421,722.9,797.013157894737,735.6825,745.259375,735.533333333333,739.814705882353,772.3675,14.2894736842105,61.3306578947369,-59.8236842105264,-12.7825
"7008",524.189285714286,651.726666666667,661.352173913044,637.22,682.754545454545,701.790322580645,721.142424242424,654.514285714286,-127.537380952381,24.1321739130435,-137.162888198758,14.5066666666667
"7009",706.53137254902,694.533333333333,733.648936170213,686.033333333333,867.411111111111,813.64375,805.589285714286,807.539285714286,11.9980392156863,47.6156028368795,-27.1175636211932,8.5
"7010",631.255172413793,720.648076923077,595.506896551724,657.113559322034,669.4875,671.958490566038,637.318644067797,623.605357142857,-89.3929045092838,-61.6066627703098,35.748275862069,63.534517601043
"7011",898.666666666667,716.964150943396,840.293023255814,882.311111111111,882.456097560976,848.239622641509,903.593333333333,864.024444444444,181.70251572327,-42.0180878552972,58.3736434108527,-165.346960167715
"7012",555.238596491228,704.992,719.226923076923,725.423529411765,691.719047619048,675.155813953488,695.286046511628,681.45,-149.753403508772,-6.19660633484159,-163.988326585695,-20.4315294117647
"7013",641.692857142857,755.766666666667,757.616666666667,589.393220338983,705.354716981132,745.42641509434,761.001960784314,690.135593220339,-114.073809523809,168.223446327684,-115.923809523809,166.373446327684
"7014",649.127118644068,712.221276595745,586.939655172414,652.273684210526,715.091489361702,663.692857142857,669.241379310345,742.390384615385,-63.0941579516769,-65.3340290381125,62.1874634716539,59.9475923852184
"7015",713.912820512821,718.659090909091,673.822727272727,660.954,746.73,718.427272727273,725.661111111111,731.91,-4.74627039627035,12.8687272727274,40.0900932400932,57.7050909090909
"7016",550.521052631579,820.545454545455,708.477777777778,782.038095238095,812.008823529412,830.728,839.796,813.11724137931,-270.024401913876,-73.5603174603175,-157.956725146199,38.5073593073593
"7018",639.506896551724,758.081632653061,528.98,720.985454545455,725,711.526785714286,691.477777777778,707.8,-118.574736101337,-192.005454545455,110.526896551724,37.0961781076066
"7019",677.212727272727,753.525,716.096226415094,818.384782608696,821.472727272727,814.908,799.845945945946,842.27,-76.3122727272727,-102.288556193601,-38.883499142367,-64.8597826086957
"7020",725.491525423729,794.322807017544,813.383333333333,834.158490566038,829.537254901961,866.168518518519,848.007843137255,856.470909090909,-68.831281593815,-20.7751572327044,-87.8918079096045,-39.8356835484939
"7022",779.584210526316,931.518181818182,687.929824561404,847.952173913043,896.580555555556,876.546511627907,838.319565217391,921.097777777778,-151.933971291866,-160.02234935164,91.6543859649123,83.5660079051383
"7023",674.676785714286,764.02619047619,687.579069767442,763.056756756757,741.348888888889,692.631481481482,747.179166666667,761.625581395349,-89.3494047619047,-75.4776869893149,-12.9022840531561,0.969433719433709
"7024",482.22380952381,570.153333333333,526.257142857143,614.970588235294,636.826923076923,648.696551724138,568.503125,570.321739130435,-87.9295238095238,-88.7134453781513,-44.0333333333334,-44.8172549019608
"7025",565.134545454545,703.563414634146,682.61875,681.108108108108,725.743181818182,736.369565217391,739.402173913043,732.532075471698,-138.428869179601,1.51064189189185,-117.484204545455,22.4553065260383
"7026",579.055263157895,647.040909090909,473.635,625.857894736842,715.042424242424,711.751851851852,705.023333333333,713.634375,-67.9856459330143,-152.222894736842,105.420263157895,21.1830143540669
"7028",639.608620689655,810.745161290323,800.5425,762.12,746.65652173913,784.372340425532,821.182051282051,767.278260869565,-171.136540600667,38.4225,-160.933879310345,48.6251612903226
"7029",775.6,786.175757575758,794.255555555556,810.574358974359,842.736111111111,805.453846153846,786.851851851852,849.857894736842,-10.5757575757575,-16.3188034188034,-18.6555555555556,-24.3986013986015
"7030",672.035087719298,808.098113207547,670.494642857143,624.62,806.936170212766,787.916666666667,758.869090909091,725.92,-136.063025488249,45.8746428571428,1.54044486215537,183.478113207547
"7031",693.868,730.704444444444,731.347916666667,809.306060606061,789.17,709.521153846154,782.635185185185,759.717307692308,-36.8364444444444,-77.9581439393938,-37.4799166666667,-78.6016161616161
"7032",634.667796610169,859.427027027027,751.902127659574,755.925490196078,818.844117647059,859.637777777778,841.854285714286,827.96511627907,-224.759230416858,-4.0233625365039,-117.234331049405,103.501536830949
"7033",646.703636363636,825.48125,670.284,729.802083333333,753.352777777778,769.1,743.174193548387,723.613043478261,-178.777613636364,-59.5180833333334,-23.5803636363636,95.6791666666667
"7034",598.6,696.696078431373,535.301724137931,699.690384615385,735.817647058824,668.769565217391,632.431818181818,646.991666666667,-98.0960784313726,-164.388660477454,63.298275862069,-2.99430618401198
