"Subject","Self_Good","Self_Bad","Other_Good","Other_Bad","good_bad_slf","good_bad_oth","slf_oth_good","slf_oth_bad"
"7003",0.972222222222222,0.972222222222222,0.965277777777778,0.965277777777778,-0.000000000000000111022302462516,0,0.00694444444444442,0.00694444444444453
"7004",0.916666666666667,0.84585289514867,0.847222222222222,0.979166666666667,0.0708137715179969,-0.131944444444445,0.0694444444444445,-0.133313771517997
"7005",1,0.958333333333333,0.979166666666667,0.909722222222222,0.0416666666666666,0.0694444444444445,0.0208333333333333,0.0486111111111112
"7006",0.909722222222222,0.958333333333333,0.965277777777778,0.902777777777778,-0.048611111111111,0.0625000000000001,-0.0555555555555556,0.0555555555555556
"7007",0.965277777777778,0.958333333333333,0.972222222222222,0.993055555555556,0.00694444444444442,-0.0208333333333334,-0.00694444444444442,-0.0347222222222222
"7008",0.798611111111111,0.833333333333333,0.784722222222222,0.833333333333333,-0.0347222222222221,-0.0486111111111112,0.013888888888889,-0.000000000000000111022302462516
"7009",0.875,0.861111111111111,0.833333333333333,0.868055555555556,0.0138888888888888,-0.0347222222222223,0.0416666666666667,-0.00694444444444442
"7010",0.972222222222222,0.993055555555556,0.993055555555556,0.958333333333333,-0.0208333333333334,0.0347222222222223,-0.0208333333333334,0.0347222222222223
"7011",0.951388888888889,0.930555555555556,0.9375,0.944444444444444,0.0208333333333333,-0.00694444444444442,0.0138888888888888,-0.0138888888888888
"7012",0.833333333333333,0.75,0.784722222222222,0.803697183098592,0.0833333333333334,-0.0189749608763692,0.048611111111111,-0.0536971830985915
"7013",0.993055555555556,0.972222222222222,0.951388888888889,0.965277777777778,0.0208333333333333,-0.013888888888889,0.0416666666666667,0.00694444444444453
"7015",0.930555555555556,0.847222222222222,0.902777777777778,0.951388888888889,0.0833333333333334,-0.0486111111111112,0.0277777777777779,-0.104166666666667
"7016",0.986111111111111,0.888888888888889,0.875,0.986111111111111,0.0972222222222223,-0.111111111111111,0.111111111111111,-0.0972222222222223
"7018",1,1,1,1,0,0,0,0
"7019",0.930555555555556,0.909722222222222,0.868055555555556,0.895833333333333,0.0208333333333334,-0.0277777777777777,0.0625,0.013888888888889
"7020",1,0.993055555555556,0.958333333333333,1,0.00694444444444442,-0.0416666666666666,0.0416666666666666,-0.00694444444444442
"7022",0.923611111111111,0.895833333333333,0.944444444444444,0.902777777777778,0.0277777777777778,0.0416666666666666,-0.0208333333333333,-0.00694444444444442
"7023",0.916666666666667,0.8125,0.868055555555556,0.944444444444444,0.104166666666667,-0.0763888888888888,0.0486111111111112,-0.131944444444444
"7025",0.979166666666667,0.854166666666667,0.840277777777778,0.979166666666667,0.125,-0.138888888888889,0.138888888888889,-0.125
"7026",0.833333333333333,0.875,0.979166666666667,0.854166666666667,-0.0416666666666666,0.125,-0.145833333333333,0.0208333333333333
"7028",0.993055555555556,0.916666666666667,0.840277777777778,0.965277777777778,0.0763888888888888,-0.125,0.152777777777778,-0.048611111111111
"7029",0.930555555555556,0.909722222222222,0.805555555555556,0.895833333333333,0.0208333333333334,-0.0902777777777777,0.125,0.013888888888889
"7030",0.965277777777778,0.993055555555556,0.972222222222222,0.993055555555556,-0.0277777777777778,-0.0208333333333333,-0.00694444444444453,0
"7031",0.902777777777778,0.840277777777778,0.833333333333333,0.9375,0.0625000000000001,-0.104166666666667,0.0694444444444445,-0.0972222222222223
"7032",0.930555555555556,0.803571428571429,0.790492957746479,0.837698412698413,0.126984126984127,-0.0472054549519338,0.140062597809077,-0.0341269841269841
"7033",0.965277777777778,0.979166666666667,0.930555555555556,0.986111111111111,-0.013888888888889,-0.0555555555555556,0.0347222222222222,-0.00694444444444442
"7034",0.958333333333333,0.845559467918623,0.888888888888889,0.951388888888889,0.11277386541471,-0.0625,0.0694444444444445,-0.105829420970266
