"Subject","L_acc_match_Self_Good","L_acc_match_Self_Bad","L_acc_match_Other_Good","L_acc_match_Other_Bad","L_acc_nonmatch_Self_Good","L_acc_nonmatch_Self_Bad","L_acc_nonmatch_Other_Good","L_acc_nonmatch_Other_Bad","L_acc_good_bad_slf","L_acc_good_oth","L_acc_slf_oth_good","L_acc_slf_oth_bad"
"7003",0.766666666666667,0.716666666666667,0.9,0.533333333333333,0.65,0.883333333333333,0.716666666666667,0.7,0.05,0.366666666666667,-0.133333333333333,0.183333333333333
"7004",0.95,0.85,0.933333333333333,0.866666666666667,0.65,0.783333333333333,0.816666666666667,0.85,0.1,0.0666666666666667,0.0166666666666666,-0.0166666666666667
"7005",0.983333333333333,0.766666666666667,0.766666666666667,0.633333333333333,0.683333333333333,0.8,0.833333333333333,0.866666666666667,0.216666666666667,0.133333333333333,0.216666666666667,0.133333333333333
"7006",0.85,0.7,0.983333333333333,0.766666666666667,0.783333333333333,0.916666666666667,0.8,0.833333333333333,0.15,0.216666666666667,-0.133333333333333,-0.0666666666666668
"7007",0.633333333333333,0.716666666666667,0.633333333333333,0.666666666666667,0.533333333333333,0.55,0.566666666666667,0.666666666666667,-0.0833333333333334,-0.0333333333333333,0,0.05
"7008",0.933333333333333,0.5,0.766666666666667,0.416666666666667,0.55,0.516666666666667,0.55,0.583333333333333,0.433333333333333,0.35,0.166666666666667,0.0833333333333333
"7009",0.85,0.3,0.783333333333333,0.75,0.3,0.533333333333333,0.466666666666667,0.466666666666667,0.55,0.0333333333333333,0.0666666666666667,-0.45
"7010",0.966666666666667,0.866666666666667,0.966666666666667,0.983333333333333,0.933333333333333,0.883333333333333,0.983333333333333,0.933333333333333,0.1,-0.0166666666666666,0,-0.116666666666667
"7011",0.65,0.883333333333333,0.716666666666667,0.6,0.683333333333333,0.883333333333333,0.75,0.75,-0.233333333333333,0.116666666666667,-0.0666666666666667,0.283333333333333
"7012",0.95,0.416666666666667,0.433333333333333,0.283333333333333,0.7,0.716666666666667,0.716666666666667,0.666666666666667,0.533333333333333,0.15,0.516666666666667,0.133333333333333
"7013",0.933333333333333,0.85,0.8,0.983333333333333,0.883333333333333,0.883333333333333,0.85,0.983333333333333,0.0833333333333334,-0.183333333333333,0.133333333333333,-0.133333333333333
"7014",0.983333333333333,0.783333333333333,0.966666666666667,0.95,0.783333333333333,0.933333333333333,0.966666666666667,0.866666666666667,0.2,0.0166666666666667,0.0166666666666666,-0.166666666666667
"7015",0.65,0.745762711864407,0.733333333333333,0.833333333333333,0.333333333333333,0.55,0.6,0.5,-0.0957627118644068,-0.1,-0.0833333333333333,-0.0875706214689266
"7016",0.95,0.55,0.9,0.7,0.566666666666667,0.416666666666667,0.416666666666667,0.483333333333333,0.4,0.2,0.0499999999999999,-0.15
"7018",0.966666666666667,0.816666666666667,1,0.916666666666667,0.916666666666667,0.933333333333333,0.9,0.966666666666667,0.15,0.0833333333333334,-0.0333333333333333,-0.1
"7019",0.916666666666667,0.8,0.883333333333333,0.766666666666667,0.55,0.833333333333333,0.616666666666667,0.666666666666667,0.116666666666667,0.116666666666667,0.0333333333333333,0.0333333333333333
"7020",0.983333333333333,0.95,0.8,0.883333333333333,0.85,0.9,0.85,0.916666666666667,0.0333333333333333,-0.0833333333333333,0.183333333333333,0.0666666666666667
"7022",0.633333333333333,0.366666666666667,0.95,0.766666666666667,0.6,0.716666666666667,0.766666666666667,0.75,0.266666666666667,0.183333333333333,-0.316666666666667,-0.4
"7023",0.933333333333333,0.7,0.716666666666667,0.616666666666667,0.75,0.9,0.8,0.716666666666667,0.233333333333333,0.1,0.216666666666667,0.0833333333333333
"7024",0.792452830188679,0.526315789473684,0.636363636363636,0.596491228070175,0.448275862068966,0.527272727272727,0.56140350877193,0.389830508474576,0.266137040714995,0.0398724082934609,0.156089193825043,-0.0701754385964912
"7025",0.916666666666667,0.683333333333333,0.8,0.616666666666667,0.733333333333333,0.766666666666667,0.766666666666667,0.883333333333333,0.233333333333333,0.183333333333333,0.116666666666667,0.0666666666666667
"7026",0.633333333333333,0.366666666666667,1,0.633333333333333,0.55,0.45,0.5,0.533333333333333,0.266666666666667,0.366666666666667,-0.366666666666667,-0.266666666666667
"7028",0.966666666666667,0.516666666666667,0.666666666666667,0.75,0.766666666666667,0.783333333333333,0.65,0.766666666666667,0.45,-0.0833333333333334,0.3,-0.233333333333333
"7029",0.716666666666667,0.55,0.45,0.65,0.6,0.65,0.45,0.633333333333333,0.166666666666667,-0.2,0.266666666666667,-0.1
"7030",0.95,0.883333333333333,0.933333333333333,1,0.783333333333333,0.9,0.916666666666667,0.916666666666667,0.0666666666666667,-0.0666666666666667,0.0166666666666666,-0.116666666666667
"7031",0.833333333333333,0.75,0.8,0.55,0.833333333333333,0.866666666666667,0.9,0.866666666666667,0.0833333333333334,0.25,0.0333333333333333,0.2
"7032",0.983333333333333,0.616666666666667,0.783333333333333,0.85,0.566666666666667,0.75,0.583333333333333,0.716666666666667,0.366666666666667,-0.0666666666666667,0.2,-0.233333333333333
"7033",0.916666666666667,0.266666666666667,0.833333333333333,0.8,0.6,0.65,0.525423728813559,0.766666666666667,0.65,0.0333333333333333,0.0833333333333333,-0.533333333333333
"7034",0.883333333333333,0.85,0.966666666666667,0.866666666666667,0.566666666666667,0.766666666666667,0.733333333333333,0.8,0.0333333333333333,0.1,-0.0833333333333334,-0.0166666666666667
